Monomer A,Monomer B,IP vs SHE (eV),EA vs SHE (eV),Optical Gap (eV),Oscillator Strength (a.u.)
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,1.1603,-1.7087,3.2928,9.6414
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C=C1Br)C#N)Br,1.3043,-1.7751,3.3353,6.1863
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC2=C(C=CC3=C2C4=C1C=CC(=C4C=C3)Br)Br,0.7123,-1.7076,2.7981,7.2174
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(N=CC(=N1)Br)Br,1.3437,-1.2491,2.9341,7.9082
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1(=C(C2=NSN=C2C(=C1F)Br)Br)F,1.2986,-0.5786,2.714,6.6167
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC2=C(C=C1Br)NC3=C2C=CC(=C3)Br,0.8451,-2.0033,3.3336,9.0579
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C=C1Br)F)Br,1.2263,-1.8121,3.2741,7.1101
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,N#CC(C#N)=c2c1cc(Br)ccc1c3ccc(Br)cc23,1.1484,-0.6959,3.1007,0.6652
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1C2=C(C=CC(=C2)Br)C3=C1C=C(C=C3)Br,0.9207,-1.8959,3.2325,9.805
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1(=C(C(=C(C(=C1Br)F)F)Br)F)F,1.5372,-1.577,3.3557,7.1281
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C2C=C(SC2=CC3=C1SC(=C3)Br)Br,0.5387,-1.5677,2.6978,11.1248
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC=C2C(=C1)C(=C3C=CC=CC3=C2Br)Br,0.7069,-1.7591,2.4929,2.4317
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C=C1Br)Br)C=O,1.3993,-1.7961,3.3208,3.5275
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC=C2C(=C1)C3=C(C=CC(=C3)Br)C4=C2C=C(C=C4)Br,1.0388,-1.8513,3.3421,9.826
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC2=CC(=CC3=C2C4=C(C=C3)C=C(C=C41)Br)Br,0.8779,-1.9389,2.9766,5.7734
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=C(C(=C1F)Br)F)Br)F,1.534,-1.8185,3.4619,4.1029
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=CC(=C1Br)C=O)Br)C=O,1.5749,-1.1029,3.195,2.424
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C(=C1[N+](=O)[O-])Br)F)Br,1.696,-1.0155,3.2596,3.3077
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC=C2C(=C1)C(=CC=C2Br)Br,1.0074,-1.9073,3.1967,5.2073
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=NC(=C1)Br)Br,1.3644,-1.6615,3.184,4.1925
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C=C1Br)C(F)(F)F)Br,1.3802,-1.8835,3.4925,6.35
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C=C1Br)CCl)Br,1.3226,-1.9051,3.4551,6.1286
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC(=O)NC1=C(C=CC(=C1)Br)Br,1.1628,-1.879,3.3013,5.1034
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CCC1=C(C=CC=C1Br)Br,1.476,-2.1273,3.4976,1.9601
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CCOC(=O)C1=CC(=C(C(=C1)Br)N)Br,0.9098,-2.0601,3.1288,2.4046
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=CC(=C1Br)O)Br)C(=O)O,1.3794,-1.7771,3.4254,5.3774
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=CC(=C1Br)O)Br)C#N,1.2451,-1.8446,3.4127,5.8714
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C=C1Br)Br)CC#N,1.3741,-2.0218,3.4143,3.782
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC(=O)C1=CC(=C(C(=C1)Br)N)Br,0.8876,-2.1183,3.2027,2.3162
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=C(C(=C1Br)F)[N+](=O)[O-])Br)F,1.6259,-1.1506,3.1934,2.4373
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)C=O)Br)F,1.5293,-1.5916,3.439,2.7623
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)O)Br)CC(=O)O,1.1487,-1.9785,3.3243,3.8358
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=CC(=C1Br)[N+](=O)[O-])Br)N,1.0838,-1.4986,2.9579,0.5404
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC(=O)NC1=CC(=C(C=C1Br)[N+](=O)[O-])Br,1.4861,-1.1916,3.377,0.6965
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(C(=C(C=C1Br)Br)O)[N+](=O)[O-],1.3144,-1.3446,3.3778,2.1394
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)CO)Br)F,1.5425,-2.041,3.4815,3.417
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)C#N)F)Br,1.5081,-1.6551,3.3455,4.4559
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,COc1c(Br)cc(N(=O)=O)c(C)c1Br,1.5733,-1.2794,3.4441,0.7303
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,COC1=C(C=C(C(=C1)N)Br)Br,0.5199,-2.1093,3.116,3.5157
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,COC1=CC(=C(C(=C1)Br)O)Br,0.8631,-1.9534,3.1423,3.4935
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC(=O)C1=CC(=CC(=C1NC(=O)C)Br)Br,1.394,-1.7741,3.32,0.9349
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC=C(C=C1)NCC(CN2C3=C(C=C(C=C3)Br)C4=C2C=CC(=C4)Br)O,0.6613,-2.0261,3.235,4.8477
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(N(C(=N1)Br)C)Br,0.7489,-1.84,2.9052,6.1915
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(N=C1Br)Br)Cl,1.4493,-1.577,3.1041,4.4852
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=NN=C1Br)Br,1.5818,-1.4874,3.269,4.9489
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(C=CN=C1Br)Br,1.5331,-1.899,3.3888,4.3355
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C2C(=C1Br)N=C(S2)Cl)Br,1.165,-1.6506,3.1432,6.9516
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=NC2=C(C=NN21)Br)Br,0.8117,-1.9228,2.7412,0.708
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(N=C(C(=N1)Br)C=O)Br,1.5695,-1.0677,3.0922,1.2647
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(N=C(C(=N1)N)Br)Br,0.8822,-1.7376,2.9741,3.7383
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C2=NC=C(N2N=C1Cl)Br)Br,1.1632,-1.3078,2.8601,0.6493
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CN2C=C(C=C(C2=N1)Br)Br,0.9538,-1.8654,2.9962,1.9733
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CN2C(=NC(=N2)Br)C=C1Br,1.414,-1.7301,3.337,7.3905
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=C(N=C1Br)Br)[N+](=O)[O-])N,1.5093,-1.1557,2.8355,0.523
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CN=CC2=C1C(=CC(=N2)Br)Br,1.4883,-1.377,3.348,3.821
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC(=O)C1=NC(=CN=C1Br)Br,1.5069,-1.1489,3.014,0.6845
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC2=NC(=NN2C=C1Br)Br,1.2912,-1.7145,3.2868,7.631
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(C(=NC=C1Br)Br)[N+](=O)[O-],1.5875,-1.1423,3.2189,0.5188
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC=C(C=C1)C2=NC3=C(C=C(C=C3C(=C2)C(=O)O)Br)Br,1.3723,-1.1948,3.1406,1.1409
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1COC2=CC(=CC(=C2C1=O)Br)Br,1.4885,-1.5688,3.0633,0.7041
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1COC2=CC(=CC(=C2C1N)Br)Br,1.1792,-2.0412,3.3744,3.711
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=CN=C1Br)N)Br,0.6384,-1.9832,3.0701,3.4897
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CN1C(=C(N=C1Br)C#N)Br,1.0754,-1.7649,3.0862,5.8806
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CN=C2C=C(C=NC2=C1Br)Br,1.5048,-1.3735,3.2843,4.3093
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1(=C(N=C(N1)Br)Br)C(F)(F)F,1.0907,-1.818,3.0089,5.4566
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CN1C(=C(N=C1Br)F)Br,0.855,-1.7617,2.8754,6.6
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C2C(=C1Br)C=NN2)Br,0.8556,-1.8665,2.9953,6.3663
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C2=NNC(=C2C=N1)Br)Br,0.9845,-1.564,2.7709,6.7994
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(N=CC2=C(NN=C21)Br)Br,1.0116,-1.67,2.9936,7.04
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(N=CC2=NNC(=C21)Br)Br,0.8343,-1.6408,2.7998,5.4096
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=NC2=NNC(=C21)Br)Br,0.8956,-1.7349,2.844,3.3473
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,COC1=NC=C(C2=NNC(=C21)Br)Br,0.9509,-1.5965,2.8635,6.6317
