mono,property,value
[*]CC([*])C,Eea,0.4343
[*]CC([*])F,Eea,0.874
[*]CC([*])(F)F,Eea,1.1415
[*]C(F)C([*])(F)F,Eea,1.524
[*]CCC(F)(F)C([*])(F)F,Eea,0.4489
[*]CO[*],Eea,0.9897
[*]CCO[*],Eea,0.3936
[*]CC(O[*])C(F)(F)F,Eea,0.7546
[*]CCCO[*],Eea,0.5672
[*]Oc1ccc(Cc2ccc([*])cc2)cc1,Eea,1.1795
[*]CCCCCOCO[*],Eea,0.5413
[*]CCOC(=O)NCCOCCOCCNC(=O)O[*],Eea,0.573
[*]c1ccc(-c2nc3cc4nc([*])oc4cc3o2)cc1,Eea,3.0398
[*]CCCCCS[*],Eea,0.5118
[*]Sc1ccc([*])cc1,Eea,2.0372
[*]CCOC(=O)CCCCC(=O)O[*],Eea,1.0754
[*]CCOC(=O)CCCCCCC(=O)O[*],Eea,0.8924
[*]CCOC(=O)c1ccc(C(=O)O[*])cc1,Eea,2.2723
[*]CCCCOC(=O)c1ccc(C(=O)O[*])cc1,Eea,2.4936
[*]CC(=O)O[*],Eea,1.2063
[*]CCCCCC(=O)O[*],Eea,0.5062
[*]CCC(=O)O[*],Eea,0.7562
[*]Oc1ccc(CC([*])=O)cc1,Eea,1.5033
[*]Cc1ccc(C(=O)O[*])cc1,Eea,2.2574
[*]CCC(=O)N[*],Eea,1.1904
[*]CCCCCCC(=O)N[*],Eea,0.6934
[*]CC(=O)N[*],Eea,0.7672
[*]Nc1cccc(C([*])=O)c1,Eea,2.356
[*]Cc1ccc(C(=O)N[*])cc1,Eea,1.8315
[*]CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,Eea,0.9199
[*]OC(=O)c1ccc(C([*])=O)cc1,Eea,3.2451
[*]Oc1ccc(OC([*])=O)cc1,Eea,1.4499
[*]CCCN[*],Eea,0.5296
[*]Oc1ccc(C(=O)c2ccc([*])cc2)cc1,Eea,2.4594
[*]c1ccc([*])cc1,Eea,2.6013
[*]CCc1ccc(-c2ccc([*])cc2)cc1,Eea,1.482
[*]OC1C(CO)OC([*])C(O)C1O,Eea,0.8344
[*]Cc1ccc(CO[*])cc1,Eea,1.6106
[*]CCOCCOC(=O)O[*],Eea,0.4954
[*]CCC(O[*])(C(F)(F)F)C(F)(F)F,Eea,0.4911
[*]c1ccc([*])s1,Eea,2.9681
[*]Oc1ccc(-c2ccc(C([*])=O)cc2)cc1,Eea,2.4015
[*]Nc1ccc([*])cc1,Eea,0.9827
[*]c1cccc([*])n1,Eea,2.2143
[*]CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)[*],Eea,1.5606
[*]C(S1)=CC=C1C(S2)=CC=C2[*],Eea,2.9681
[*]C(OC1=C2)=NC1=CC=C2C(=NC3=C4)OC3=CC=C4[*],Eea,3.155
[*]CC(C=C1)=CC=C1C[*],Eea,0.8499
[*]CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)[*],Eea,0.7602
[*]CC(C1=CC=CC=N1)CC(C2=CC=CC=N2)CC(C3=CC=CC=N3)[*],Eea,1.1922
[*]C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(=S)[*],Eea,3.9365
[*]C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O[*],Eea,2.4093
[*]C(S1)=CC=C1C(S2)=CC=C2OC(=S)[*],Eea,3.2944
[*]C(S1)=CC=C1C(=S)C(S2)=CC=C2O[*],Eea,3.4574
[*]C(S1)=CC=C1C(=S)OC(=S)[*],Eea,4.0075
[*]C(S1)=CC=C1OC(S2)=CC=C2O[*],Eea,1.3443
[*]C(S1)=CC=C1OC(=S)O[*],Eea,2.5249
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4[*],Eea,2.752
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O[*],Eea,1.7103
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4[*],Eea,2.3385
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(=S)[*],Eea,3.3503
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3O[*],Eea,1.8588
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3[*],Eea,3.6267
[*]C(C=C1)=CC=C1C(S2)=CC=C2OC(S3)=CC=C3[*],Eea,2.1082
[*]C(C=C1)=CC=C1C(S2)=CC=C2OC(=S)[*],Eea,2.8418
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3O[*],Eea,1.897
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4[*],Eea,2.2963
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(=S)[*],Eea,3.0264
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3O[*],Eea,1.6576
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)O[*],Eea,2.7321
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(=S)[*],Eea,4.1807
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2O[*],Eea,3.2177
[*]C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2C(=S)[*],Eea,2.9311
[*]C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2O[*],Eea,3.1315
[*]C(C=C1)=CC=C1C(=S)OC(=S)[*],Eea,3.7508
[*]C(C=C1)=CC=C1OC(S2)=CC=C2O[*],Eea,1.2264
[*]C(C=C1)=CC=C1OC(=S)C(S2)=CC=C2[*],Eea,3.1094
[*]C(C=C1)=CC=C1OC(=S)O[*],Eea,1.8722
[*]CC(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Eea,2.0787
[*]CC(S1)=CC=C1C(S2)=CC=C2C(=S)[*],Eea,3.2587
[*]CC(S1)=CC=C1C(S2)=CC=C2O[*],Eea,1.7705
[*]CC(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Eea,1.9244
[*]CC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Eea,2.9754
[*]CC(S1)=CC=C1C(C=C2)=CC=C2O[*],Eea,1.4385
[*]CC(S1)=CC=C1CC(S2)=CC=C2[*],Eea,1.174
[*]CC(S1)=CC=C1CC(=S)[*],Eea,2.588
[*]CC(S1)=CC=C1C(=O)C(S2)=CC=C2[*],Eea,2.8498
[*]CC(S1)=CC=C1C(=O)C(=S)[*],Eea,3.3428
[*]CC(S1)=CC=C1C(=O)O[*],Eea,2.358
[*]CC(S1)=CC=C1C(=S)C(S2)=CC=C2[*],Eea,3.3843
[*]CC(S1)=CC=C1C(=S)O[*],Eea,2.9654
[*]CC(S1)=CC=C1NC(S2)=CC=C2[*],Eea,1.1194
[*]CC(S1)=CC=C1NC(=S)[*],Eea,2.0497
[*]CC(S1)=CC=C1NO[*],Eea,1.3873
[*]CC(S1)=CC=C1OC(S2)=CC=C2[*],Eea,1.2199
